name,full_name,birth_date,age,height_cm,weight_kgs,positions,nationality,overall_rating,potential,value_euro,wage_euro,preferred_foot,international_reputation(1-5),weak_foot(1-5),skill_moves(1-5),body_type,release_clause_euro,national_team,national_rating,national_team_position,national_jersey_number,Defending,Physical_Mobility,Finishing_Attacking,Static_Physical_Reactivity,Technique_Creativity,Aggression_Aerial
A. Katai,Aleksandar Katai,2/6/1991,28,182.88,69.9,"LW,RW",Serbia,74,74,6000000.0,9000.0,Right,1,4,4,Normal,9000000.0,,,,,40.0,68.4,73.42857142857143,68.66666666666667,75.28571428571429,60.0
S. Anđelković,Siniša Anđelković,2/13/1986,33,185.42,82.1,CB,Slovenia,74,74,3200000.0,4000.0,Right,1,2,2,Normal,5000000.0,,,,,73.0,58.2,36.142857142857146,79.0,52.0,71.0
J. Kembo-Ekoko,Jirès Kembo-Ekoko,1/8/1988,31,152.4,78.0,"RW,ST",DR Congo,74,74,5500000.0,18000.0,Right,1,3,3,Normal,11000000.0,,,,,31.75,71.8,72.14285714285714,68.0,72.0,60.0
Lato,Antonio Latorre Grueso,11/21/1997,21,170.18,64.0,LB,Spain,74,82,7000000.0,18000.0,Left,1,3,3,Normal,16100000.0,,,,,71.25,76.4,54.0,58.666666666666664,68.28571428571429,67.5
E. Mor,Emre Mor,7/24/1997,21,170.18,64.0,"LW,ST,RW",Turkey,74,83,8500000.0,16000.0,Left,1,3,4,Lean,19600000.0,,,,,27.0,83.8,58.857142857142854,57.0,67.14285714285714,49.5
Osvaldo Lodeiro,Osvaldo Murilo Lodeiro Ferreira,2/29/1988,31,185.42,81.2,"CB,RB,LB",Brazil,74,74,4200000.0,14000.0,Right,1,3,2,Normal,7900000.0,,,,,74.25,58.8,48.285714285714285,69.66666666666667,57.857142857142854,72.0
Róber,Roberto Suárez Pier,2/16/1995,24,182.88,73.9,"CB,CDM",Spain,74,82,7000000.0,8000.0,Right,1,3,2,Normal,,,,,,75.0,62.6,44.285714285714285,72.66666666666667,59.857142857142854,67.5
João Pereira,João Pedro da Silva Pereira,2/25/1984,35,172.72,66.2,RB,Portugal,74,74,1600000.0,24000.0,Right,2,3,3,Normal,3200000.0,,,,,75.0,75.2,60.857142857142854,65.33333333333333,69.85714285714286,67.5
R. Strebinger,Richard Strebinger,2/14/1993,26,193.04,89.8,GK,Austria,74,77,5000000.0,12000.0,Right,1,2,1,Normal,7800000.0,SK Rapid Wien,69.0,GK,1.0,13.5,35.4,15.142857142857142,72.66666666666667,20.285714285714285,18.0
M. Hedges,Matt Hedges,4/1/1990,28,193.04,83.9,CB,United States,74,75,5000000.0,8000.0,Right,1,3,2,Lean,7900000.0,,,,,70.25,60.6,27.857142857142858,75.0,56.714285714285715,76.5
N. Silva,Nicolás Alexis Silva,1/24/1990,29,162.56,58.1,"LM,CAM,RM",Argentina,74,74,5500000.0,15000.0,Right,1,4,3,Lean,8300000.0,,,,,20.0,86.6,61.0,50.0,69.14285714285714,34.5
Leandro Damião,Leandro Damião da Silva dos Santos,7/22/1989,29,187.96,82.1,ST,Brazil,74,74,6000000.0,11000.0,Right,2,2,3,Normal,7800000.0,,,,,29.75,56.8,70.57142857142857,71.33333333333333,66.0,75.0
E. Álvarez,Edson Álvarez,10/24/1997,21,185.42,73.0,"CB,CDM",Mexico,74,79,6500000.0,31000.0,Right,1,3,2,Lean,11500000.0,Club América,74.0,LDM,4.0,72.25,70.6,44.285714285714285,72.0,65.71428571428571,75.5
J. Buffarini,Julio Buffarini,8/18/1988,30,170.18,76.2,RB,Argentina,74,74,4300000.0,19000.0,Right,1,3,3,Normal,6000000.0,,,,,69.5,82.8,60.285714285714285,73.0,68.85714285714286,76.5
B. Nuytinck,Bram Nuytinck,5/4/1990,28,190.5,82.1,CB,Netherlands,74,76,5500000.0,22000.0,Left,1,2,2,Normal,9800000.0,,,,,76.0,43.4,37.42857142857143,70.0,57.57142857142857,72.0
T. Sippel,Tobias Sippel,3/22/1988,30,182.88,78.0,GK,Germany,74,75,4200000.0,17000.0,Right,1,2,1,Normal,7400000.0,,,,,13.5,44.4,14.0,67.0,26.142857142857142,24.5
N. Benedetti,Nicolás Benedetti Roa,4/25/1997,21,152.4,69.9,"CAM,RM",Colombia,74,85,9500000.0,35000.0,Right,1,3,4,Normal,18100000.0,,,,,43.5,76.2,61.285714285714285,60.333333333333336,71.71428571428571,44.5
M. Niakhaté,Moussa Niakhaté,3/8/1996,23,190.5,82.1,CB,France,74,81,7000000.0,18000.0,Left,1,3,2,Normal,13300000.0,,,,,72.75,67.8,37.0,76.33333333333333,59.142857142857146,73.0
Fábio Melitinho,Fábio Kel Melo Feijó,2/29/1984,35,170.18,67.1,"CAM,LM",Brazil,74,74,2800000.0,25000.0,Right,1,5,3,Normal,5400000.0,,,,,23.5,64.6,74.85714285714286,56.0,75.42857142857143,48.0
André Horta,André Filipe Luz Horta,11/7/1996,22,175.26,64.0,"CM,CAM",Portugal,74,82,8000000.0,6000.0,Right,1,3,3,Lean,13600000.0,,,,,65.75,79.2,62.0,70.0,75.28571428571429,61.0
Hugo Goiteira,Hugo Goiteira Regalo,2/29/1992,27,190.5,88.0,CB,Brazil,74,74,4900000.0,18000.0,Right,1,2,2,Normal,9100000.0,,,,,72.25,42.6,44.142857142857146,70.0,60.0,81.5
R. Ortiz,Richard Ortiz Busto,5/22/1990,28,175.26,74.8,"CDM,CM",Paraguay,74,75,,,Left,1,2,3,Stocky,,,,,,70.5,74.6,61.42857142857143,67.0,71.14285714285714,64.0
E. Sviatchenko,Erik Sviatchenko,10/4/1991,27,182.88,82.1,CB,Denmark,74,75,5500000.0,19000.0,Right,1,4,2,Stocky,7600000.0,,,,,73.0,69.8,43.857142857142854,77.33333333333333,63.285714285714285,73.5
M. Estigarribia,Marcelo Alejandro Estigarribia Balmori,9/21/1987,31,154.94,73.9,"LM,RM,CM",Paraguay,74,74,5500000.0,13000.0,Left,1,4,3,Lean,8300000.0,,,,,64.0,78.0,68.71428571428571,68.33333333333333,70.14285714285714,69.0
C. Coady,Conor  Coady,2/25/1993,26,185.42,79.8,CB,England,74,77,6000000.0,46000.0,Right,1,3,2,Normal,11900000.0,,,,,75.5,53.0,57.42857142857143,75.0,71.85714285714286,68.5
L. Mothiba,Lebo Mothiba,1/28/1996,23,182.88,76.2,ST,South Africa,74,83,9000000.0,16000.0,Right,1,3,3,Lean,19800000.0,South Africa,71.0,ST,23.0,20.75,68.8,66.71428571428571,70.33333333333333,67.0,62.5
Kel Perinho,Kel Bruno Pereira Negrão,2/29/1984,35,193.04,78.9,CB,Brazil,74,74,1700000.0,14000.0,Right,1,3,2,Lean,3200000.0,,,,,73.5,50.6,49.42857142857143,63.666666666666664,66.28571428571429,73.0
A. Song,Alexandre Dimitri Song-Billong,9/9/1987,31,185.42,73.9,"CDM,CM",Cameroon,74,74,4200000.0,25000.0,Right,3,3,3,Normal,6100000.0,,,,,72.25,63.2,53.285714285714285,71.0,71.42857142857143,75.0
Gálvez,Alejandro Gálvez Jimena,6/6/1989,29,187.96,78.9,CB,Spain,74,75,4900000.0,17000.0,Right,2,3,2,Lean,11200000.0,,,,,71.75,49.2,47.285714285714285,70.66666666666667,63.857142857142854,79.5
P. Kunde Malong,Pierre Kunde Malong,7/26/1995,23,154.94,78.9,"CDM,CM",Cameroon,74,80,6500000.0,18000.0,Right,1,4,3,Stocky,12400000.0,Cameroon,75.0,SUB,13.0,69.25,75.6,57.714285714285715,76.33333333333333,73.28571428571429,64.5
O. Pineda,Orbelín Pineda Alvarado,3/24/1996,22,170.18,64.0,"CM,CAM,CDM",Mexico,74,82,8000000.0,19000.0,Right,1,4,3,Normal,15200000.0,,,,,62.5,87.0,65.71428571428571,64.33333333333333,73.57142857142857,54.0
M. Bešić,Muhamed Bešić,9/10/1992,26,154.94,79.8,"CDM,CM",Bosnia Herzegovina,74,79,6500000.0,58000.0,Right,2,3,3,Normal,,,,,,73.5,68.2,51.57142857142857,75.66666666666667,70.85714285714286,74.0
N. Vikonis,Nicolás Vikonis Mureau,4/6/1984,34,182.88,86.2,GK,Uruguay,74,74,2300000.0,6000.0,Left,1,3,1,Normal,3900000.0,,,,,16.5,39.4,15.857142857142858,62.666666666666664,30.285714285714285,19.5
T. Mykhalyk,Taras Mykhalyk,10/28/1983,35,182.88,83.0,"CB,CDM",Ukraine,74,74,1700000.0,1000.0,Right,2,3,2,Normal,3600000.0,,,,,74.25,59.0,43.857142857142854,72.33333333333333,62.0,72.5
A. Bizzarri,Albano Benjamín Bizzarri,11/9/1977,41,193.04,88.9,GK,Argentina,74,74,375000.0,2000.0,Right,2,3,1,Normal,,,,,,13.25,47.0,17.428571428571427,63.666666666666664,31.714285714285715,25.0
Jailson Caeiro,Jailson Michel Caeiro Meireles,2/29/1992,27,152.4,74.8,"RB,RM",Brazil,74,74,4800000.0,18000.0,Right,1,4,3,Normal,9100000.0,,,,,74.0,75.8,53.857142857142854,68.66666666666667,64.57142857142857,62.0
B. Kuwas,Brandley Kuwas,9/19/1992,26,154.94,77.1,"RW,CAM",Curacao,74,75,6500000.0,9000.0,Left,1,3,4,Normal,9900000.0,,,,,23.25,77.8,69.42857142857143,67.0,72.57142857142857,44.5
C. Hourihane,Conor Hourihane,2/2/1991,28,154.94,62.1,"CM,CDM",Republic of Ireland,74,74,6000000.0,18000.0,Left,1,4,3,Lean,11400000.0,Republic of Ireland,74.0,LCM,17.0,65.5,75.2,69.28571428571429,72.0,71.42857142857143,66.0
N. Benezet,Nicolas Benezet,2/24/1991,28,170.18,64.9,"LM,CAM,RM",France,74,74,6000000.0,20000.0,Right,1,4,3,Lean,12000000.0,,,,,29.0,77.0,63.57142857142857,62.333333333333336,71.71428571428571,47.5
K. Lawrence,Kemar Lawrence,9/17/1992,26,152.4,73.0,"LB,LWB",Jamaica,74,77,6000000.0,7000.0,Left,1,3,3,Normal,9500000.0,,,,,71.5,82.4,49.285714285714285,75.33333333333333,59.57142857142857,70.0
E. Kalinski,Enzo Kalinski,3/10/1987,31,182.88,86.2,"CM,CDM",Argentina,74,74,4800000.0,15000.0,Right,1,4,3,Lean,7200000.0,,,,,69.25,70.8,55.42857142857143,77.33333333333333,71.14285714285714,73.5
C. Fuchs,Christian Fuchs,4/7/1986,32,187.96,88.9,LB,Austria,74,74,3100000.0,46000.0,Left,2,2,3,Normal,5900000.0,,,,,75.75,59.2,72.42857142857143,73.33333333333333,74.85714285714286,74.5
D. Royer,Daniel Royer,5/22/1990,28,152.4,73.0,"LM,LW,RM",Austria,74,74,5500000.0,8000.0,Right,1,3,4,Normal,8300000.0,,,,,45.5,83.8,69.85714285714286,69.66666666666667,70.85714285714286,64.0
L. Cabrera,Leandro Cabrera,9/6/1991,27,187.96,79.8,"CB,LB",Uruguay,74,77,6000000.0,18000.0,Left,1,3,2,Normal,13100000.0,,,,,71.75,64.0,37.42857142857143,78.66666666666667,55.142857142857146,79.5
K. Roofe,Kemar Roofe,1/6/1993,26,152.4,64.9,ST,England,74,76,7000000.0,38000.0,Right,1,4,3,Lean,13800000.0,,,,,48.75,80.0,69.0,72.33333333333333,68.57142857142857,67.0
A. Beck,Andreas Beck,3/13/1987,31,154.94,78.9,"RB,RWB",Germany,74,74,3700000.0,26000.0,Right,2,3,3,Normal,6300000.0,,,,,74.75,69.6,49.714285714285715,70.0,69.71428571428571,72.5
C. Berra,Christophe Berra,1/31/1985,34,190.5,92.1,CB,Scotland,74,74,2300000.0,8000.0,Left,1,2,2,Stocky,4000000.0,,,,,71.5,44.8,30.714285714285715,79.0,55.285714285714285,79.0
Hélder Costa,Hélder Wander Sousa Azevedo Costa,1/12/1994,25,152.4,77.1,RW,Portugal,74,76,7000000.0,50000.0,Left,1,4,4,Normal,13800000.0,,,,,27.25,79.8,68.42857142857143,56.333333333333336,71.0,52.0
G. Cunningham,Greg Cunningham,1/31/1991,28,182.88,69.9,LB,Republic of Ireland,74,74,4600000.0,35000.0,Left,1,3,3,Normal,9300000.0,,,,,72.0,74.2,48.714285714285715,72.66666666666667,66.0,76.0
C. Kameni,Carlos Idriss Kameni,2/18/1984,35,185.42,86.2,GK,Cameroon,74,74,2300000.0,36000.0,Right,2,3,1,Normal,4300000.0,Cameroon,75.0,SUB,23.0,15.0,48.6,13.857142857142858,72.0,26.714285714285715,23.5
R. Bazoer,Riechedly Bazoer,10/12/1996,22,182.88,73.9,CM,Netherlands,74,82,8000000.0,26000.0,Right,2,3,3,Normal,,,,,,66.75,73.8,59.57142857142857,76.66666666666667,73.85714285714286,67.0
Jairo,Jairo Samperio Bustara,7/11/1993,25,172.72,68.9,"LM,RM",Spain,74,77,7000000.0,12000.0,Right,2,4,3,Normal,11700000.0,,,,,28.25,81.2,66.57142857142857,64.66666666666667,70.28571428571429,51.5
S. Kırıntılı,Serkan Kırıntılı,2/15/1985,34,185.42,78.0,GK,Turkey,74,74,2800000.0,12000.0,Right,1,2,1,Normal,5700000.0,Turkey,76.0,GK,12.0,17.0,47.8,12.571428571428571,70.33333333333333,28.0,24.0
E. Ponce,Ezequiel Ponce,3/29/1997,21,152.4,78.0,ST,Argentina,74,80,8000000.0,1000.0,Right,1,3,3,Normal,19200000.0,,,,,34.0,75.8,66.42857142857143,74.33333333333333,64.42857142857143,59.0
L. Griffiths,Leigh Griffiths,8/20/1990,28,175.26,77.1,ST,Scotland,74,74,6000000.0,46000.0,Left,1,3,3,Normal,10800000.0,Scotland,75.0,SUB,16.0,18.25,77.6,73.42857142857143,75.0,66.14285714285714,67.0
Enaldo Praz,Enaldo Diogo Barbosa Prazeres,2/29/1988,31,152.4,73.0,LB,Brazil,74,74,4100000.0,22000.0,Left,1,3,2,Normal,7300000.0,,,,,74.0,70.8,47.285714285714285,66.0,66.0,73.5
P. Billing,Philip Billing,6/11/1996,22,198.12,79.8,"CDM,CM",Denmark,74,83,7500000.0,30000.0,Left,1,3,2,Lean,15800000.0,,,,,74.25,59.0,67.42857142857143,69.33333333333333,75.28571428571429,68.5
G. Svensson,Gustav Svensson,2/7/1987,32,182.88,77.1,"CDM,CB,CM",Sweden,74,74,3800000.0,7000.0,Right,1,2,3,Normal,5700000.0,Sweden,76.0,SUB,18.0,71.75,57.6,44.142857142857146,74.66666666666667,68.57142857142857,73.5
Joselu,José Luis Sanmartín Mato,3/27/1990,28,193.04,79.8,ST,Spain,74,74,6000000.0,44000.0,Right,1,3,3,Lean,11400000.0,,,,,23.75,59.6,70.57142857142857,72.66666666666667,67.28571428571429,69.0
T. Koopmeiners,Teun Koopmeiners,2/28/1998,21,182.88,77.1,"CDM,CB",Netherlands,74,82,7000000.0,9000.0,Left,1,3,3,Normal,11900000.0,,,,,68.75,70.8,67.85714285714286,75.33333333333333,73.28571428571429,68.5
Gerson,Gerson Santos da Silva,5/20/1997,21,182.88,72.1,"CM,RW",Brazil,74,82,8000000.0,34000.0,Left,1,2,3,Lean,,,,,,60.25,73.0,59.857142857142854,67.66666666666667,73.85714285714286,57.0
A. Pritchard,Alex  Pritchard,5/3/1993,25,170.18,62.1,"CAM,ST",England,74,78,7500000.0,37000.0,Right,1,4,3,Lean,14800000.0,,,,,46.0,72.6,69.71428571428571,48.666666666666664,73.71428571428571,54.5
A. González,Ángel González,5/16/1994,24,170.18,69.9,"RW,LW",Argentina,74,80,7500000.0,13000.0,Right,1,3,3,Normal,12800000.0,,,,,46.0,81.8,57.0,63.666666666666664,70.57142857142857,52.5
H. Wilson,Harry Wilson,3/22/1997,21,172.72,69.9,"RW,CM",Wales,74,86,10000000.0,59000.0,Left,1,3,3,Lean,,Wales,75.0,SUB,18.0,37.25,77.8,74.0,54.666666666666664,71.28571428571429,39.0
L. Crisetig,Lorenzo Crisetig,1/20/1993,26,182.88,79.8,"CM,CDM",Italy,74,77,7000000.0,26000.0,Left,1,3,3,Normal,,,,,,68.25,62.6,56.857142857142854,73.33333333333333,74.0,67.5
F. Di Santo,Franco Matías Di Santo,4/7/1989,29,193.04,88.0,"ST,LW,CAM",Argentina,74,74,5500000.0,20000.0,Right,2,3,3,Normal,12100000.0,,,,,40.25,66.2,69.42857142857143,71.0,73.14285714285714,74.0
E. Saric,Elvis Saric,7/21/1990,28,154.94,71.2,"CM,CDM",Bosnia Herzegovina,74,74,6000000.0,9000.0,Left,1,3,3,Normal,7500000.0,,,,,69.75,74.6,60.0,69.66666666666667,73.57142857142857,62.0
J. Bijlow,Justin Bijlow,1/22/1998,21,190.5,73.0,GK,Netherlands,74,82,6500000.0,6000.0,Right,1,2,1,Normal,10400000.0,,,,,12.5,37.6,10.857142857142858,69.33333333333333,34.857142857142854,16.5
Elias Fontoira,Elias Thiago Fontoira Marques,2/29/1984,35,185.42,73.9,CDM,Brazil,74,74,1700000.0,21000.0,Right,1,3,3,Lean,3200000.0,,,,,73.75,69.8,70.71428571428571,72.33333333333333,74.71428571428571,65.5
C. Paterson,Callum Paterson,10/13/1994,24,187.96,76.2,"ST,CM,RB",Scotland,74,79,7500000.0,37000.0,Right,1,3,3,Normal,15600000.0,Scotland,75.0,RB,2.0,67.5,73.0,57.285714285714285,85.0,66.71428571428571,82.0
I. Kutepov,Ilya Kutepov,7/29/1993,25,193.04,83.9,CB,Russia,74,80,6500000.0,1000.0,Right,1,5,2,Lean,15000000.0,Russia,77.0,RCB,3.0,75.75,47.6,42.0,63.666666666666664,59.857142857142854,75.0
A. Chahechouhe,Aatif Chahechouhe,7/2/1986,32,175.26,68.0,"LM,CAM",Morocco,74,74,4900000.0,14000.0,Right,1,4,4,Normal,9900000.0,,,,,29.0,74.6,68.28571428571429,64.0,72.85714285714286,48.5
L. Jara,Leonardo Jara,5/20/1991,27,185.42,82.1,RB,Argentina,74,75,5000000.0,18000.0,Right,1,3,3,Normal,,,,,,72.25,72.6,52.714285714285715,73.0,69.0,63.5
R. Jack,Ryan Jack,2/27/1992,27,182.88,72.1,"CDM,CM",Scotland,74,77,6000000.0,39000.0,Right,1,3,3,Normal,11300000.0,,,,,71.25,72.2,50.0,70.0,70.28571428571429,73.5
Y. Pelé,Yohann Pelé,11/4/1982,36,195.58,88.9,GK,France,74,74,1300000.0,17000.0,Right,1,3,1,Normal,2500000.0,,,,,15.75,38.8,13.571428571428571,70.66666666666667,27.571428571428573,24.5
D. Liénard,Dimitri Liénard,2/13/1988,31,182.88,77.1,"CM,LWB",France,74,74,5000000.0,17000.0,Left,1,3,3,Normal,10000000.0,,,,,55.75,65.2,72.71428571428571,65.0,76.0,65.5
Júlio Tavares,Júlio Carolino Tavares,11/19/1988,30,187.96,88.0,ST,Cape Verde,74,74,5500000.0,15000.0,Right,1,2,3,Normal,11000000.0,,,,,23.5,60.6,62.285714285714285,72.66666666666667,64.57142857142857,63.0
M. Ishak,Mikael Ishak,3/31/1993,25,185.42,81.2,ST,Sweden,74,76,7000000.0,22000.0,Right,1,5,3,Normal,13100000.0,,,,,35.75,69.0,59.142857142857146,76.66666666666667,63.42857142857143,69.0
G. Pandev,Goran Pandev,7/27/1983,35,182.88,74.8,"ST,CAM",FYR Macedonia,74,74,3000000.0,17000.0,Left,2,3,3,Normal,5300000.0,,,,,34.25,59.2,74.0,68.33333333333333,73.85714285714286,60.0
M. Andújar,Mariano Gonzalo Andújar,7/30/1983,35,193.04,86.2,GK,Argentina,74,74,2300000.0,11000.0,Right,2,3,1,Normal,3400000.0,,,,,19.25,41.6,13.857142857142858,70.0,29.571428571428573,24.5
Eduardo,Eduardo dos Reis Carvalho,9/19/1982,36,187.96,88.0,GK,Portugal,74,74,1300000.0,6000.0,Right,2,3,1,Normal,2000000.0,,,,,18.5,43.6,17.428571428571427,68.66666666666667,33.714285714285715,20.0
A. Touré,Almamy Touré,4/28/1996,22,182.88,72.1,RB,Mali,74,79,6500000.0,22000.0,Right,1,3,3,Normal,11500000.0,,,,,73.0,70.0,46.285714285714285,72.33333333333333,64.14285714285714,64.0
M. Alustiza,Matías Gustavo Alustiza,5/31/1984,34,165.1,68.9,"CAM,ST",Argentina,74,74,2800000.0,19000.0,Left,1,4,4,Normal,,,,,,30.75,71.4,73.57142857142857,69.66666666666667,73.0,67.5
J. Silva,Jonathan Silva,6/29/1994,24,152.4,72.1,"LB,LWB",Argentina,74,79,6500000.0,9000.0,Left,1,3,3,Lean,,,,,,72.75,75.8,62.857142857142854,68.0,69.0,68.5
Anselmo,Anselmo de Moraes,2/20/1989,30,185.42,82.1,"CDM,CM",Brazil,74,74,4400000.0,21000.0,Right,1,2,3,Normal,7200000.0,,,,,73.25,70.8,56.57142857142857,72.0,68.14285714285714,69.0
M. Lestienne,Maxime Lestienne,6/17/1992,26,175.26,63.0,"LM,RM",Belgium,74,75,6500000.0,15000.0,Left,1,4,3,Lean,10200000.0,,,,,34.25,83.0,69.57142857142857,58.0,71.57142857142857,58.0
S. Gümüş,Sinan Gümüş,1/15/1994,25,152.4,71.2,"RM,ST",Germany,74,76,7000000.0,38000.0,Left,1,3,3,Normal,13800000.0,,,,,29.75,79.8,66.85714285714286,68.33333333333333,71.0,61.5
F. Silva,Francisco Andrés Silva Gajardo,2/11/1986,33,152.4,74.8,"CDM,CM,CB",Chile,74,74,3200000.0,17000.0,Right,1,3,2,Normal,4500000.0,,,,,70.5,57.4,59.285714285714285,70.33333333333333,70.14285714285714,60.5
J. Durmaz,Jimmy Durmaz,3/22/1989,29,154.94,68.9,"CAM,LW,RW",Sweden,74,74,5500000.0,26000.0,Left,2,4,3,Normal,11000000.0,Sweden,76.0,SUB,21.0,31.75,72.8,71.71428571428571,59.333333333333336,75.14285714285714,48.5
Pascoal Muscato,Pascoal Simão Muscato Vieira,2/29/1992,27,152.4,83.9,"CDM,CM",Brazil,74,74,4900000.0,15000.0,Right,1,4,2,Stocky,9300000.0,,,,,72.5,62.6,65.71428571428571,73.66666666666667,73.14285714285714,66.5
J. Hoilett,David Junior Hoilett,6/5/1990,28,172.72,69.9,"LW,LM,RM",Canada,74,74,5500000.0,44000.0,Right,2,3,3,Normal,11000000.0,Canada,70.0,LM,10.0,33.0,80.6,69.0,68.0,71.28571428571429,62.0
K. Laifis,Konstantinos Laifis,5/19/1993,25,185.42,77.1,"CB,LB",Cyprus,74,78,6000000.0,13000.0,Left,1,3,2,Lean,9500000.0,,,,,73.75,65.2,61.42857142857143,69.66666666666667,70.42857142857143,73.5
Y. Khacheridi,Yevhen Khacheridi,7/28/1987,31,198.12,87.1,CB,Ukraine,74,74,4200000.0,1000.0,Right,1,3,2,Lean,8800000.0,,,,,72.75,45.2,35.142857142857146,75.66666666666667,54.42857142857143,78.0
T. Matavž,Tim Matavž,1/13/1989,30,187.96,81.2,ST,Slovenia,74,74,5500000.0,15000.0,Right,2,4,3,Normal,8300000.0,,,,,23.5,57.0,70.57142857142857,73.33333333333333,65.42857142857143,65.5
M. Waris,Abdul Majeed Waris,9/19/1991,27,172.72,71.2,"ST,LM,LW",Ghana,74,75,6500000.0,13000.0,Right,1,4,3,Normal,,,,,,35.75,83.0,64.14285714285714,73.0,71.71428571428571,69.0
E. Velázquez,Emiliano Velázquez,4/30/1994,24,185.42,78.9,CB,Uruguay,74,80,6500000.0,14000.0,Right,1,3,2,Normal,15600000.0,,,,,76.0,52.2,33.857142857142854,75.33333333333333,59.857142857142854,69.5
J. Korb,Julian Korb,3/21/1992,26,152.4,69.9,"RB,RWB,RM",Germany,74,75,5500000.0,26000.0,Right,2,2,3,Lean,9800000.0,,,,,73.25,75.0,49.714285714285715,70.0,66.28571428571429,60.5
D. Sakho,Diafra Sakho,12/24/1989,29,182.88,78.9,ST,Senegal,74,74,6000000.0,30000.0,Right,1,3,3,Lean,,,,,,27.25,67.2,67.42857142857143,76.33333333333333,65.0,71.0
J. Chester,James Chester,1/23/1989,30,154.94,78.9,CB,Wales,74,74,4400000.0,18000.0,Right,1,3,2,Normal,8300000.0,Wales,75.0,SUB,5.0,74.0,70.0,39.714285714285715,76.33333333333333,58.57142857142857,72.5
Edercinho Sepa,Rodrigo Éder Serpa Conceição,2/29/1988,31,152.4,76.2,"CDM,CM",Brazil,74,74,4200000.0,22000.0,Right,1,3,2,Normal,7500000.0,,,,,72.75,72.6,68.14285714285714,73.0,71.57142857142857,69.5
G. Arias,Gabriel Arias,9/13/1987,31,187.96,91.2,GK,Chile,74,74,3600000.0,14000.0,Right,1,2,1,Normal,5100000.0,Racing Club,75.0,GK,1.0,13.75,39.2,18.285714285714285,61.333333333333336,25.0,21.0
A. Talavera,Alfredo Talavera Díaz,9/18/1982,36,187.96,82.1,GK,Mexico,74,74,1300000.0,10000.0,Right,2,4,1,Normal,2300000.0,,,,,19.25,51.2,18.0,74.66666666666667,32.714285714285715,26.0
L. Cooper,Liam Cooper,8/30/1991,27,187.96,73.0,CB,Scotland,74,75,5500000.0,34000.0,Left,1,2,2,Normal,10900000.0,,,,,73.0,59.2,32.42857142857143,77.0,57.857142857142854,75.0
G. Chakvetadze,Giorgi Chakvetadze,8/29/1999,19,152.4,74.8,"LM,CAM",Georgia,74,87,10000000.0,9000.0,Right,1,3,3,Lean,21300000.0,,,,,33.0,79.2,66.85714285714286,64.0,71.57142857142857,38.5
V. Demirel,Volkan Demirel,10/27/1981,37,190.5,89.8,GK,Turkey,74,74,750000.0,23000.0,Right,2,2,1,Stocky,1400000.0,,,,,18.0,35.0,12.571428571428571,74.66666666666667,36.857142857142854,31.5
K. Ansarifard,Karim Ansarifard,4/3/1990,28,187.96,79.8,ST,Iran,74,74,6000000.0,47000.0,Right,1,4,3,Lean,11400000.0,,,,,39.25,70.2,66.57142857142857,72.0,66.85714285714286,69.0
A. Di Gaudio,Antonio Di Gaudio,8/16/1989,29,170.18,63.0,LW,Italy,74,74,5500000.0,39000.0,Right,1,4,4,Normal,,,,,,28.25,89.6,59.0,52.333333333333336,68.71428571428571,39.0
T. Melia,Tim Melia,5/15/1986,32,185.42,86.2,GK,United States,74,74,3200000.0,6000.0,Right,1,2,1,Normal,4800000.0,,,,,16.25,36.6,17.428571428571427,65.66666666666667,36.57142857142857,24.0
M. Zaldivia,Matías Zaldivia,1/22/1991,28,154.94,78.9,CB,Argentina,74,76,5500000.0,8000.0,Right,1,4,2,Normal,8100000.0,,,,,74.0,59.0,41.285714285714285,78.33333333333333,61.714285714285715,72.0
Da Costa,Angelo Esmael da Costa Júnior,11/12/1983,35,185.42,81.2,GK,Brazil,74,74,2300000.0,20000.0,Right,1,2,1,Normal,3900000.0,,,,,17.5,38.4,13.142857142857142,63.0,28.857142857142858,21.0
R. Álvarez,Ricardo Gabriel Álvarez,4/12/1988,30,187.96,83.9,CAM,Argentina,74,74,5500000.0,19000.0,Left,2,2,4,Lean,9400000.0,,,,,50.0,63.0,71.57142857142857,73.0,74.85714285714286,63.5
E. Dilaver,Emir Dilaver,5/7/1991,27,182.88,82.1,"CB,RB",Austria,74,76,5500000.0,1000.0,Right,1,4,2,Normal,12500000.0,,,,,73.25,67.2,45.57142857142857,73.33333333333333,59.714285714285715,77.5
C. Álvarez,Cristian Darío Álvarez,11/13/1985,33,185.42,83.0,GK,Argentina,74,74,3200000.0,7000.0,Right,1,3,1,Normal,5200000.0,,,,,16.25,50.2,14.0,63.333333333333336,27.571428571428573,18.5
Zubeldia,Igor Zubeldia Elorza,3/30/1997,21,154.94,78.9,"CM,CDM",Spain,74,81,8000000.0,17000.0,Right,1,3,3,Normal,18400000.0,,,,,68.5,62.2,60.714285714285715,70.33333333333333,70.42857142857143,63.5
M. Pasqual,Manuel Pasqual,3/13/1982,36,152.4,71.2,"LB,LM",Italy,74,74,650000.0,9000.0,Left,2,2,3,Normal,1200000.0,,,,,71.75,71.0,63.42857142857143,71.66666666666667,74.85714285714286,63.0
